 1:24:27 AM | ℹ️ Info | Logged in as Revoltanator!
 1:33:41 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 1:33:41 AM
 1:33:42 AM | ℹ️ Info | Logged in as Revoltanator!
 2:21:38 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 2:21:38 AM
 2:21:39 AM | ℹ️ Info | Logged in as Revoltanator!
 2:27:18 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 2:27:18 AM
 2:27:19 AM | ℹ️ Info | Logged in as Revoltanator!
 2:29:54 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 2:29:54 AM
 2:29:55 AM | ℹ️ Info | Logged in as Revoltanator!
 2:31:46 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 2:31:46 AM
 2:31:47 AM | ℹ️ Info | Logged in as Revoltanator!
 2:33:13 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 2:33:13 AM
 2:33:14 AM | ℹ️ Info | Logged in as Revoltanator!
 2:37:13 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 2:37:13 AM
 2:37:54 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 2:37:54 AM
 2:37:55 AM | ℹ️ Info | Logged in as Revoltanator!
 2:38:39 AM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 2:39:13 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 2:39:13 AM
 2:39:14 AM | ℹ️ Info | Logged in as Revoltanator!
 2:39:24 AM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 2:39:43 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 2:39:43 AM
 2:39:44 AM | ℹ️ Info | Logged in as Revoltanator!
 2:39:50 AM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 2:40:37 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 2:40:37 AM
 2:40:39 AM | ℹ️ Info | Logged in as Revoltanator!
 2:40:43 AM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 2:44:24 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 2:44:24 AM
 2:44:26 AM | ℹ️ Info | Logged in as Revoltanator!
 3:12:34 AM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 3:12:42 AM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 3:58:55 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 3:58:55 AM
 3:58:56 AM | ℹ️ Info | Logged in as Revoltanator!
 4:24:15 AM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 4:24:15 AM
 4:24:17 AM | ℹ️ Info | Logged in as Revoltanator!
 5:28:51 AM | ℹ️ Info | Logged in as Revoltanator!
 5:28:55 AM | ℹ️ Info | Logged in as Revoltanator!
 6:03:29 AM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 6:04:47 AM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 9:12:11 AM | ℹ️ Info | Logged in as Revoltanator!
11:06:39 AM|  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 11:06:39 AM
11:06:41 AM| ℹ️ Info | Logged in as Revoltanator!
 4:22:31 PM | ℹ️ Info | Logged in as Revoltanator!
 6:01:01 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 6:01:01 PM
 6:01:03 PM | ℹ️ Info | Logged in as Revoltanator!
 6:04:57 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 6:04:57 PM
 6:04:58 PM | ℹ️ Info | Logged in as Revoltanator!
 6:05:17 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 6:07:08 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 6:07:08 PM
 6:07:09 PM | ℹ️ Info | Logged in as Revoltanator!
 6:07:18 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 6:07:46 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 6:07:46 PM
 6:07:48 PM | ℹ️ Info | Logged in as Revoltanator!
 6:07:53 PM | ⚠️ Error |  [Error_Handling] :: Unhandled Rejection/Catch
 6:08:47 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 6:08:47 PM
 6:08:49 PM | ℹ️ Info | Logged in as Revoltanator!
 6:08:57 PM |  Logger  | BetterDevLogs v1.0.0 BETA - Log Started! 6/25/2023 6:08:57 PM
 6:08:59 PM | ℹ️ Info | Logged in as Revoltanator!
